,Open,High,Close
2693,211.26,211.58,208.83
2692,207.21,209.38,204.62
2691,205.37,205.95,201.95
2690,202.52,205.7,204.15
2689,205.08,205.49,201.73
2688,197.7,200.77,199.7
2687,202.34,202.42,193.75
2686,193.26,196.07,195.25
2685,196.61,197.14,195.65
2684,192.7,195.85,194.87
2683,194.29,196.15,192.94
2682,193.88,193.94,191.39
2681,191.19,194.97,194.25
2680,194.19,194.78,193.49
2679,192.75,193.08,187.94
2678,187.99,188.77,183.8
2677,182.67,189.14,187.88
2676,189.97,190.53,187.11
2675,185.94,190.05,189.16
2674,191.6,192.44,190.69
2673,192.08,192.53,188.66
2672,187.13,189.02,187.29
2671,187.39,187.83,184.43
2670,185.94,187.75,184.9
2669,187.24,191.03,190.68
2668,191.93,194.42,194.05
2667,193.39,195.19,193.09
2666,193.35,193.74,191.87
2665,189.24,189.69,188.84
2664,189.06,189.82,189.33
2663,189.01,189.32,186.9
2662,187.41,188.39,187.05
2661,186.73,187.85,186.82
2660,187.99,190.67,190.67
2659,190.58,191.35,189.66
2658,189.79,192.52,190.57
2657,190.94,191.27,189.45
2656,190.69,190.83,189.49
2655,190.12,192.89,192.37
2654,191.24,191.79,190.26
2653,189.88,191.07,189.43
2652,188.55,190.59,189.11
2651,189.32,192.54,192.24
2650,192.69,196.56,196.15
2649,197.77,203.58,203.49
2648,202.35,203.34,202.19
2647,203.94,205.23,205.14
2646,205.2,209.55,207.55
2645,207.94,207.95,202.11
2644,203.75,203.9,198.7
2643,200.35,204.43,203.63
2642,202.69,203.93,202.09
2641,202.99,204.93,202.19
2640,202.95,204.04,203.64
2639,203.35,205.82,201.66
2638,202.24,203.69,201.99
2637,202.76,203.01,201.15
2636,201.15,203.2,200.92
2635,200.85,203.43,202.22
2634,202.69,208.09,208.06
2633,207.56,209.33,206.11
2632,205.32,211.17,210.46
2631,212.61,216.19,214.71
2630,216.0,219.14,213.54
2629,212.72,215.17,213.46
2628,214.49,215.05,213.93
2627,214.09,214.96,213.86
2626,214.06,214.81,211.09
2625,210.36,212.09,210.53
2624,211.71,212.59,209.86
2623,210.33,227.68,213.24
2622,229.72,230.28,230.06
2621,231.37,242.56,240.63
2620,238.38,239.17,236.89
2619,238.98,244.49,243.54
2618,244.08,246.23,242.79
2617,242.19,242.86,237.84
2616,237.65,240.47,238.52
2615,239.27,241.32,238.43
2614,239.62,239.8,233.98
2613,233.98,237.1,235.19
2612,236.35,237.11,236.13
2611,237.12,240.07,238.71
2610,238.72,239.75,236.52
2609,235.41,241.11,237.74
2608,238.49,239.98,236.55
2607,237.13,237.6,237.01
2606,237.69,240.83,240.76
2605,240.59,245.22,244.89
2604,246.96,250.17,246.21
2603,247.75,249.09,248.2
2602,246.87,250.08,249.64
2601,249.45,249.45,247.77
2600,248.52,255.25,255.08
2599,255.74,256.76,254.26
2598,252.5,254.0,252.8
2597,250.94,251.14,242.62
2596,240.81,245.17,244.99
2595,247.37,247.62,242.57
2594,242.34,245.45,242.65
2593,243.23,244.44,240.64
2592,241.74,243.96,242.67
2591,243.94,244.96,243.74
2590,243.72,246.45,244.6
2589,245.36,246.15,241.56
2588,241.21,244.54,242.3
2587,242.7,244.69,242.21
2586,242.17,243.42,241.13
2585,242.59,242.99,239.73
